"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 13 00:31:47 GMT 2024","Thu Jun 13 00:31:50 GMT 2024","2878","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 00:31:50 GMT 2024","Thu Jun 13 00:31:51 GMT 2024","652","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"broken","Thu Jun 13 00:31:51 GMT 2024","Thu Jun 13 00:31:52 GMT 2024","661","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"broken","Thu Jun 13 00:31:50 GMT 2024","Thu Jun 13 00:31:51 GMT 2024","662","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 00:31:48 GMT 2024","Thu Jun 13 00:31:50 GMT 2024","2665","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"skipped","Thu Jun 13 00:31:51 GMT 2024","Thu Jun 13 00:31:52 GMT 2024","652","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
