"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 13 00:39:47 GMT 2024","Thu Jun 13 00:39:50 GMT 2024","2519","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"broken","Thu Jun 13 00:39:50 GMT 2024","Thu Jun 13 00:39:50 GMT 2024","307","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 00:39:50 GMT 2024","Thu Jun 13 00:39:50 GMT 2024","297","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"skipped","Thu Jun 13 00:39:50 GMT 2024","Thu Jun 13 00:39:51 GMT 2024","226","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
"broken","Thu Jun 13 00:39:50 GMT 2024","Thu Jun 13 00:39:51 GMT 2024","239","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"broken","Thu Jun 13 00:39:47 GMT 2024","Thu Jun 13 00:39:50 GMT 2024","2730","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
