"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 01:16:51 GMT 2024","Tue May 21 01:17:18 GMT 2024","26913","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 01:16:18 GMT 2024","Tue May 21 01:16:51 GMT 2024","32835","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 01:16:51 GMT 2024","Tue May 21 01:17:18 GMT 2024","26904","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"passed","Tue May 21 01:16:18 GMT 2024","Tue May 21 01:16:51 GMT 2024","32621","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"passed","Tue May 21 01:17:18 GMT 2024","Tue May 21 01:17:32 GMT 2024","14204","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 01:17:18 GMT 2024","Tue May 21 01:17:32 GMT 2024","14195","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
