"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 20:17:05 GMT 2024","Tue May 21 20:17:40 GMT 2024","34757","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"passed","Tue May 21 20:17:05 GMT 2024","Tue May 21 20:17:40 GMT 2024","34979","Testes do CHROMEE","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 20:17:40 GMT 2024","Tue May 21 20:18:05 GMT 2024","25306","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"passed","Tue May 21 20:18:05 GMT 2024","Tue May 21 20:18:18 GMT 2024","13392","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
"passed","Tue May 21 20:18:05 GMT 2024","Tue May 21 20:18:18 GMT 2024","13400","Testes do CHROMEE","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 20:17:40 GMT 2024","Tue May 21 20:18:05 GMT 2024","25314","Testes do CHROMEE","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
