"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 13 00:33:27 GMT 2024","Thu Jun 13 00:34:01 GMT 2024","33668","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"broken","Thu Jun 13 00:33:28 GMT 2024","Thu Jun 13 00:34:01 GMT 2024","33384","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"broken","Thu Jun 13 00:34:01 GMT 2024","Thu Jun 13 00:34:23 GMT 2024","21972","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"broken","Thu Jun 13 00:34:01 GMT 2024","Thu Jun 13 00:34:23 GMT 2024","21962","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"passed","Thu Jun 13 00:34:23 GMT 2024","Thu Jun 13 00:34:38 GMT 2024","14780","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Thu Jun 13 00:34:23 GMT 2024","Thu Jun 13 00:34:38 GMT 2024","14772","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
