"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 01:07:44 GMT 2024","Tue May 21 01:08:09 GMT 2024","24714","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
"passed","Tue May 21 01:08:09 GMT 2024","Tue May 21 01:08:21 GMT 2024","12301","Testes do FIREFOX","Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 01:08:09 GMT 2024","Tue May 21 01:08:21 GMT 2024","12293","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
"passed","Tue May 21 01:06:57 GMT 2024","Tue May 21 01:07:44 GMT 2024","46808","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"passed","Tue May 21 01:06:57 GMT 2024","Tue May 21 01:07:44 GMT 2024","47057","Testes do FIREFOX","Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"passed","Tue May 21 01:07:44 GMT 2024","Tue May 21 01:08:09 GMT 2024","24723","Testes do FIREFOX","Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
