"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 13 14:11:21 GMT 2024","Thu Jun 13 14:11:27 GMT 2024","6265","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 14:11:28 GMT 2024","Thu Jun 13 14:11:28 GMT 2024","221","","Cenarios de teste da página home","","Achando a loja mais perto de um local","","Achando a loja mais perto de um local",""
"broken","Thu Jun 13 14:11:27 GMT 2024","Thu Jun 13 14:11:28 GMT 2024","333","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 14:11:21 GMT 2024","Thu Jun 13 14:11:27 GMT 2024","6011","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pela barra de busca","","Adicionando um produto ao carrinho com sucesso pela barra de busca",""
"broken","Thu Jun 13 14:11:28 GMT 2024","Thu Jun 13 14:11:28 GMT 2024","231","Testes do CHROME","Testes no Chrome","br.com.oticasdiniz.runners.TestNGRunner","br.com.oticasdiniz.runners.TestNGRunner","scenario","Runs Cucumber Scenarios",""
"skipped","Thu Jun 13 14:11:27 GMT 2024","Thu Jun 13 14:11:28 GMT 2024","323","","Cenarios de teste da página de carrinho","","Adicionando um produto ao carrinho com sucesso pelos hovers","","Adicionando um produto ao carrinho com sucesso pelos hovers",""
